"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0M410","2019-07-28 00:00:00","245.000","351.000","1.400","22.300","1.000","977.300","-99.000","14.500","-99.000","-99.000","-99.000","31.800","","22.300",""
"C0U720","2019-07-28 00:00:00","1260.000","295.000","1.000","19.900","0.990","885.200","-99.000","7.000","-99.000","-99.000","-99.000","28.200","","19.700",""
"C0X150","2019-07-28 00:00:00","18.000","140.000","1.500","27.200","0.910","1007.100","-99.000","0.500","-99.000","-99.000","-99.000","32.800","","27.200",""
"C0Z050","2019-07-28 00:00:00","830.000","269.000","0.600","20.500","0.970","921.000","-99.000","21.000","-99.000","-99.000","-99.000","28.500","","20.500",""
"C0I490","2019-07-28 00:00:00","1601.000","74.000","2.500","17.000","0.990","840.300","-99.000","14.000","-99.000","-99.000","-99.000","27.100","","16.600",""
"C0I090","2019-07-28 00:00:00","910.000","214.000","1.200","21.800","0.840","909.700","-99.000","17.500","-99.000","-99.000","-99.000","27.600","","20.500",""
"C0X240","2019-07-28 00:00:00","394.000","175.000","1.100","22.700","0.930","964.900","-99.000","34.000","-99.000","-99.000","-99.000","29.000","","22.300",""
"C0S990","2019-07-28 00:00:00","409.000","26.000","2.900","24.800","0.940","964.200","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","24.800",""
"C0E850","2019-07-28 00:00:00","104.000","57.000","0.800","23.300","0.970","995.200","-99.000","39.000","-99.000","-99.000","-99.000","33.800","","23.300",""
"C0T9B0","2019-07-28 00:00:00","558.000","1.000","0.300","23.300","0.930","949.400","-99.000","0.500","-99.000","-99.000","-99.000","28.200","","23.000",""
"C0G650","2019-07-28 00:00:00","34.000","0.000","0.200","25.700","0.990","1002.700","-99.000","9.500","-99.000","-99.000","-99.000","35.200","","25.600",""
"C0K580","2019-07-28 00:00:00","26.000","0.000","0.200","25.400","0.960","1005.300","-99.000","1.500","-99.000","-99.000","-99.000","33.300","","25.400",""
"C0K490","2019-07-28 00:00:00","91.000","0.000","0.000","24.100","0.970","996.800","-99.000","10.500","-99.000","-99.000","-99.000","32.300","","24.000",""
"C0SA20","2019-07-28 00:00:00","857.000","359.000","2.400","20.200","1.000","916.200","-99.000","34.500","-99.000","-99.000","-99.000","26.300","","20.200",""
